,XGBoost_Gain,RandomForest,Permutation,LinearRegression,Correlation,综合得分
VOD_C_2002_2018_multiyear_mean_m11,0.015571490406710787,0.00913163174870985,0.12470959575229798,0.00458180604626335,0.33557754905249493,0.09791441460129538
VOD_X_1997_2018_multiyear_mean_m10,0.020169253256946594,0.014344889780610728,0.09859457534878825,0.01687947903583334,0.3392097771582365,0.0978395949160831
VOD_X_1997_2018_multiyear_mean_m01,0.01723253690167461,0.009814505204366667,0.1184943275318995,0.08209922222819235,0.2613744126593847,0.09780300090510356
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m4,0.019222787717812044,0.04633965479704129,0.0929454963882615,0.0207580085779056,0.30329035326775017,0.09651126014975411
VOD_Ku_1987_2017_multiyear_mean_m04,0.019077590513068444,0.004332533905493862,0.13461912018332467,0.03438586276480952,0.28747466504996366,0.09597795448333203
VOD_X_1997_2018_multiyear_mean_m12,0.01661955189178074,0.0007316594977699627,0.12162476980181759,0.025841550712175494,0.3094400865564004,0.09485152369198883
SOIL_phh2o_60.100cm_mean_0.01_deg,0.10966473235367419,0.03277743665105832,0.10654882309338928,0.0015394887424119345,0.22077520829168396,0.09426113782644353
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m6,0.011995458788893625,0.03605027296171276,0.11120694975799013,0.24064981497029939,0.07055928020958828,0.09409235533769683
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m9,0.015754508788503534,0.049081808639100374,0.08100335078329186,0.037363476742293386,0.2818897260255303,0.0930185741957439
VOD_X_1997_2018_multiyear_mean_m03,0.024091992845538323,0.005236225177440158,0.12391285299119888,0.05011839721898933,0.25993401866029964,0.09265869737869327
SOIL_bdod_30.60cm_mean_0.01_deg,0.00605018633673587,0.02608155852836234,0.13907441321678518,0.036049228781125014,0.25061200138814466,0.0915734776502306
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m4,0.012311707085884761,0.023843482178518286,0.1044940313459291,0.004117645122356952,0.3080054336213794,0.0905544598708137
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m9,0.019062449302250657,0.020609371302955596,0.11148150355356398,0.12936191010953538,0.17220480272993702,0.09054400739964852
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m9,0.009346696856510982,0.012640538944484827,0.11667686130959413,0.24453685351157575,0.06715870450252026,0.09007193102493719
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m11,0.011466521762297243,0.023048383347936727,0.11037014461439319,0.05874292435688226,0.24609881056984642,0.08994535693027117
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m6,0.04506467746699269,0.06977897268720214,0.08842322905995406,0.21244994650651286,0.031939252293560025,0.08953121560284436
SOIL_soc_0.5cm_mean_0.01_deg,0.013432248082039673,0.0678005263236044,0.07382187535409256,0.0032319363897230693,0.28190441282049117,0.08803819979399016
VOD_Ku_1987_2017_multiyear_mean_m12,0.033721597977854324,0.0021446696811168635,0.1224294183094176,0.015507837882780597,0.25771376572666455,0.08630345791556679
VOD_Ku_1987_2017_multiyear_mean_m03,0.022495809558431196,0.003071892352457736,0.14327260103520306,0.060068188696062653,0.20221940895937435,0.08622558012030579
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m11,0.011978791547865377,0.012038097585880626,0.1203723971930767,0.0805029539245315,0.20023872550748703,0.08502619315176825
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m9,0.017425041042942555,0.02530498589538491,0.11611221461721054,0.1665387395073257,0.09677431351208683,0.08443105891499011
SOIL_phh2o_5.15cm_mean_0.01_deg,0.02692075987320013,0.003360574746663086,0.11692638644291388,0.08325092690180848,0.19025680687092353,0.08414309096710182
SOIL_phh2o_30.60cm_mean_0.01_deg,0.009451051288997422,0.00111648162735226,0.1245533872465103,0.04924929143132416,0.23511876237921248,0.08389779479467932
SOIL_phh2o_15.30cm_mean_0.01_deg,0.014916571416024508,0.0009879043144098865,0.13006093125494836,0.06574846642304866,0.20266398932739663,0.0828755725471656
VOD_C_2002_2018_multiyear_mean_m02,0.02103208070837558,0.015329172316805481,0.11007351412638915,0.020902202429169545,0.24653935175571093,0.08277526426729014
SOIL_phh2o_0.5cm_mean_0.01_deg,0.027606614902817204,0.00820851182790268,0.10520015730345061,0.05750365618764119,0.20683308000761472,0.08107040404588528
VOD_X_1997_2018_multiyear_mean_m02,0.02418325831473139,0.008064339563306277,0.13236108850981512,0.021851460043904706,0.20731037485368853,0.0787541042570892
